Epoch 69: train_loss=0.0090, val_loss=1.2878, train_acc=0.9966, val_acc=0.8316
Epoch 70: train_loss=0.0095, val_loss=1.4194, train_acc=0.9967, val_acc=0.8209
Epoch 71: train_loss=0.0104, val_loss=1.2517, train_acc=0.9960, val_acc=0.8264
Epoch 72: train_loss=0.0104, val_loss=1.4058, train_acc=0.9964, val_acc=0.8236
Epoch 73: train_loss=0.0107, val_loss=1.3391, train_acc=0.9965, val_acc=0.8264
Epoch 74: train_loss=0.0088, val_loss=1.4035, train_acc=0.9973, val_acc=0.8249
Epoch 75: train_loss=0.0099, val_loss=1.2410, train_acc=0.9965, val_acc=0.8233
Epoch 76: train_loss=0.0094, val_loss=1.3125, train_acc=0.9964, val_acc=0.8267
Epoch 77: train_loss=0.0096, val_loss=1.2157, train_acc=0.9965, val_acc=0.8324
Epoch 78: train_loss=0.0077, val_loss=1.4337, train_acc=0.9973, val_acc=0.8318
Epoch 79: train_loss=0.0081, val_loss=1.3814, train_acc=0.9971, val_acc=0.8329
Epoch 80: train_loss=0.0102, val_loss=1.4000, train_acc=0.9960, val_acc=0.8302
Epoch 81: train_loss=0.0085, val_loss=1.2565, train_acc=0.9972, val_acc=0.8293
Epoch 82: train_loss=0.0081, val_loss=1.2704, train_acc=0.9970, val_acc=0.8298
Epoch 83: train_loss=0.0091, val_loss=1.3713, train_acc=0.9968, val_acc=0.8242
Epoch 84: train_loss=0.0083, val_loss=1.2828, train_acc=0.9973, val_acc=0.8273
Epoch 85: train_loss=0.0082, val_loss=1.3038, train_acc=0.9972, val_acc=0.8311
Epoch 86: train_loss=0.0068, val_loss=1.5955, train_acc=0.9976, val_acc=0.8282
Epoch 87: train_loss=0.0088, val_loss=1.2860, train_acc=0.9970, val_acc=0.8251
Epoch 88: train_loss=0.0076, val_loss=1.4110, train_acc=0.9974, val_acc=0.8249
Epoch 89: train_loss=0.0074, val_loss=1.4259, train_acc=0.9974, val_acc=0.8242
Epoch 90: train_loss=0.0069, val_loss=1.5708, train_acc=0.9975, val_acc=0.8262
Epoch 91: train_loss=0.0079, val_loss=1.4314, train_acc=0.9974, val_acc=0.8276
Epoch 92: train_loss=0.0069, val_loss=1.4167, train_acc=0.9978, val_acc=0.8264
Epoch 93: train_loss=0.0062, val_loss=1.4119, train_acc=0.9980, val_acc=0.8264
Epoch 94: train_loss=0.0060, val_loss=1.4263, train_acc=0.9982, val_acc=0.8258
Epoch 95: train_loss=0.0065, val_loss=1.5064, train_acc=0.9977, val_acc=0.8229
Epoch 96: train_loss=0.0063, val_loss=1.4682, train_acc=0.9979, val_acc=0.8242
Epoch 97: train_loss=0.0073, val_loss=1.5097, train_acc=0.9974, val_acc=0.8236
Epoch 98: train_loss=0.0054, val_loss=1.5771, train_acc=0.9981, val_acc=0.8264
Epoch 99: train_loss=0.0064, val_loss=1.5758, train_acc=0.9979, val_acc=0.8251
Epoch 100: train_loss=0.0057, val_loss=1.5644, train_acc=0.9979, val_acc=0.8280

Final test_loss=1.4610, test_acc=0.8320
